text,platform,timestamp,likes,impressions,comments,hour,day_of_week,text_length,sentiment,platform_LinkedIn,platform_Twitter
How to stay productive while working remotely ğŸ’»,LinkedIn,2023-05-04 17:30:00,14,350,1,17,3,47,-0.1,True,False
Throwback to our team retreat last year ğŸŒ´,LinkedIn,2023-12-07 20:15:00,49,1225,8,20,3,41,0.0,True,False
"We just hit 10,000 followers, thank you all ğŸ™Œ",Twitter,2025-03-05 07:00:00,19,513,1,7,2,45,0.0,False,True
Join us for a live webinar on AI and the future ğŸ§ ,Twitter,2025-01-12 18:15:00,31,713,4,18,6,49,0.06818181818181818,False,True
Throwback to our team retreat last year ğŸŒ´,Twitter,2024-05-09 19:30:00,28,644,4,19,3,41,0.0,False,True
Hereâ€™s a quick tip for growing on LinkedIn ğŸ“ˆ,Twitter,2025-05-26 10:30:00,43,516,3,10,0,44,0.3333333333333333,False,True
Hereâ€™s a quick tip for growing on LinkedIn ğŸ“ˆ,LinkedIn,2025-11-24 19:45:00,63,1071,8,19,0,44,0.3333333333333333,True,False
Our new office space is ready! Take a look ğŸ¢,LinkedIn,2023-12-03 06:30:00,51,969,6,6,6,44,0.19318181818181818,True,False
Throwback to our team retreat last year ğŸŒ´,Twitter,2023-12-01 21:15:00,25,475,3,21,4,41,0.0,False,True
Our new office space is ready! Take a look ğŸ¢,LinkedIn,2024-09-01 06:45:00,55,990,8,6,6,44,0.19318181818181818,True,False
Hereâ€™s a quick tip for growing on LinkedIn ğŸ“ˆ,Twitter,2025-04-03 16:30:00,36,972,3,16,3,44,0.3333333333333333,False,True
Join us for a live webinar on AI and the future ğŸ§ ,Twitter,2025-02-19 06:30:00,15,255,1,6,2,49,0.06818181818181818,False,True
5 tools every startup should be using today ğŸ”§,LinkedIn,2025-06-22 07:45:00,26,338,4,7,6,45,0.0,True,False
Throwback to our team retreat last year ğŸŒ´,LinkedIn,2024-02-23 14:45:00,24,408,2,14,4,41,0.0,True,False
Join us for a live webinar on AI and the future ğŸ§ ,Twitter,2025-08-01 18:00:00,18,198,1,18,4,49,0.06818181818181818,False,True
How to stay productive while working remotely ğŸ’»,Twitter,2025-07-13 15:45:00,8,104,1,15,6,47,-0.1,False,True
Excited to announce our new product launch ğŸš€,Twitter,2024-11-14 14:15:00,59,885,6,14,3,44,0.2556818181818182,False,True
Why storytelling matters in product design ğŸ“š,LinkedIn,2024-02-10 18:00:00,11,132,1,18,5,44,0.0,True,False
Our new office space is ready! Take a look ğŸ¢,LinkedIn,2023-11-11 06:30:00,23,437,1,6,5,44,0.19318181818181818,True,False
Excited to announce our new product launch ğŸš€,LinkedIn,2024-04-28 11:00:00,68,1904,12,11,6,44,0.2556818181818182,True,False
Reflecting on our startup journey so far âœ¨,LinkedIn,2023-01-06 11:00:00,16,320,1,11,4,42,0.1,True,False
5 tools every startup should be using today ğŸ”§,Twitter,2024-04-27 06:15:00,15,195,1,6,5,45,0.0,False,True
Throwback to our team retreat last year ğŸŒ´,Twitter,2025-10-11 09:45:00,49,735,3,9,5,41,0.0,False,True
5 tools every startup should be using today ğŸ”§,LinkedIn,2024-08-11 13:30:00,6,174,0,13,6,45,0.0,True,False
Our new office space is ready! Take a look ğŸ¢,Twitter,2023-05-17 06:15:00,66,1980,4,6,2,44,0.19318181818181818,False,True
5 tools every startup should be using today ğŸ”§,Twitter,2024-02-09 12:30:00,46,506,5,12,4,45,0.0,False,True
Join us for a live webinar on AI and the future ğŸ§ ,LinkedIn,2023-07-11 21:00:00,50,1450,9,21,1,49,0.06818181818181818,True,False
"We just hit 10,000 followers, thank you all ğŸ™Œ",Twitter,2024-10-27 12:30:00,5,150,0,12,6,45,0.0,False,True
Join us for a live webinar on AI and the future ğŸ§ ,LinkedIn,2025-01-13 12:30:00,46,1380,4,12,0,49,0.06818181818181818,True,False
Excited to announce our new product launch ğŸš€,LinkedIn,2024-07-09 10:45:00,52,520,3,10,1,44,0.2556818181818182,True,False
Throwback to our team retreat last year ğŸŒ´,LinkedIn,2023-09-21 12:00:00,2,40,0,12,3,41,0.0,True,False
Why storytelling matters in product design ğŸ“š,LinkedIn,2023-10-22 19:15:00,40,560,2,19,6,44,0.0,True,False
Throwback to our team retreat last year ğŸŒ´,LinkedIn,2023-12-20 19:00:00,2,26,0,19,2,41,0.0,True,False
Our new office space is ready! Take a look ğŸ¢,LinkedIn,2024-09-08 20:30:00,41,656,8,20,6,44,0.19318181818181818,True,False
"We just hit 10,000 followers, thank you all ğŸ™Œ",Twitter,2025-05-18 17:15:00,32,928,2,17,6,45,0.0,False,True
Hereâ€™s a quick tip for growing on LinkedIn ğŸ“ˆ,LinkedIn,2023-02-10 06:15:00,66,1650,10,6,4,44,0.3333333333333333,True,False
Hereâ€™s a quick tip for growing on LinkedIn ğŸ“ˆ,LinkedIn,2023-12-09 07:30:00,66,1452,11,7,5,44,0.3333333333333333,True,False
Why storytelling matters in product design ğŸ“š,LinkedIn,2025-01-07 15:00:00,46,1150,5,15,1,44,0.0,True,False
Reflecting on our startup journey so far âœ¨,LinkedIn,2024-01-07 06:30:00,29,667,2,6,6,42,0.1,True,False
Excited to announce our new product launch ğŸš€,LinkedIn,2025-04-08 07:45:00,63,882,10,7,1,44,0.2556818181818182,True,False
How to stay productive while working remotely ğŸ’»,Twitter,2024-06-06 15:45:00,0,0,0,15,3,47,-0.1,False,True
"We just hit 10,000 followers, thank you all ğŸ™Œ",Twitter,2023-11-27 17:00:00,25,700,1,17,0,45,0.0,False,True
Throwback to our team retreat last year ğŸŒ´,LinkedIn,2023-07-06 09:15:00,0,0,0,9,3,41,0.0,True,False
Reflecting on our startup journey so far âœ¨,LinkedIn,2025-06-07 13:15:00,49,1323,3,13,5,42,0.1,True,False
Our new office space is ready! Take a look ğŸ¢,Twitter,2023-04-23 21:00:00,65,1495,11,21,6,44,0.19318181818181818,False,True
Reflecting on our startup journey so far âœ¨,Twitter,2025-01-11 14:45:00,55,1540,6,14,5,42,0.1,False,True
5 tools every startup should be using today ğŸ”§,LinkedIn,2025-12-08 13:30:00,16,416,1,13,0,45,0.0,True,False
Throwback to our team retreat last year ğŸŒ´,Twitter,2025-08-11 20:15:00,20,220,3,20,0,41,0.0,False,True
Throwback to our team retreat last year ğŸŒ´,Twitter,2024-06-04 19:30:00,43,860,6,19,1,41,0.0,False,True
Throwback to our team retreat last year ğŸŒ´,Twitter,2025-11-11 18:00:00,11,264,1,18,1,41,0.0,False,True
Join us for a live webinar on AI and the future ğŸ§ ,LinkedIn,2025-08-22 18:15:00,21,357,2,18,4,49,0.06818181818181818,True,False
Excited to announce our new product launch ğŸš€,LinkedIn,2023-08-03 12:15:00,40,1120,4,12,3,44,0.2556818181818182,True,False
How to stay productive while working remotely ğŸ’»,Twitter,2025-03-12 18:30:00,25,425,4,18,2,47,-0.1,False,True
Reflecting on our startup journey so far âœ¨,LinkedIn,2025-06-06 09:45:00,30,660,2,9,4,42,0.1,True,False
5 tools every startup should be using today ğŸ”§,Twitter,2024-05-06 14:30:00,13,130,0,14,0,45,0.0,False,True
Excited to announce our new product launch ğŸš€,LinkedIn,2024-04-04 11:45:00,70,1680,4,11,3,44,0.2556818181818182,True,False
Hereâ€™s a quick tip for growing on LinkedIn ğŸ“ˆ,Twitter,2025-08-02 14:15:00,50,1050,5,14,5,44,0.3333333333333333,False,True
Excited to announce our new product launch ğŸš€,LinkedIn,2024-05-28 19:45:00,36,900,5,19,1,44,0.2556818181818182,True,False
Why storytelling matters in product design ğŸ“š,LinkedIn,2023-06-26 18:30:00,40,960,6,18,0,44,0.0,True,False
Reflecting on our startup journey so far âœ¨,LinkedIn,2025-07-06 22:45:00,14,294,2,22,6,42,0.1,True,False
Why storytelling matters in product design ğŸ“š,Twitter,2025-04-16 09:30:00,43,1290,2,9,2,44,0.0,False,True
Reflecting on our startup journey so far âœ¨,LinkedIn,2023-02-24 17:30:00,47,846,5,17,4,42,0.1,True,False
5 tools every startup should be using today ğŸ”§,Twitter,2023-10-16 15:45:00,25,550,4,15,0,45,0.0,False,True
Reflecting on our startup journey so far âœ¨,Twitter,2023-02-27 17:15:00,10,210,0,17,0,42,0.1,False,True
Reflecting on our startup journey so far âœ¨,Twitter,2025-09-03 22:15:00,44,1276,2,22,2,42,0.1,False,True
Our new office space is ready! Take a look ğŸ¢,LinkedIn,2025-07-21 08:00:00,24,720,1,8,0,44,0.19318181818181818,True,False
Reflecting on our startup journey so far âœ¨,LinkedIn,2023-08-06 14:30:00,48,1104,3,14,6,42,0.1,True,False
Why storytelling matters in product design ğŸ“š,Twitter,2024-12-26 16:00:00,24,696,2,16,3,44,0.0,False,True
Our new office space is ready! Take a look ğŸ¢,Twitter,2025-01-06 18:15:00,64,960,7,18,0,44,0.19318181818181818,False,True
How to stay productive while working remotely ğŸ’»,Twitter,2025-07-01 09:45:00,6,120,1,9,1,47,-0.1,False,True
Join us for a live webinar on AI and the future ğŸ§ ,Twitter,2024-10-11 13:30:00,28,700,3,13,4,49,0.06818181818181818,False,True
Our new office space is ready! Take a look ğŸ¢,LinkedIn,2025-06-07 07:30:00,36,576,4,7,5,44,0.19318181818181818,True,False
5 tools every startup should be using today ğŸ”§,Twitter,2024-08-05 12:30:00,3,66,0,12,0,45,0.0,False,True
Our new office space is ready! Take a look ğŸ¢,Twitter,2024-02-15 16:30:00,52,1196,4,16,3,44,0.19318181818181818,False,True
Our new office space is ready! Take a look ğŸ¢,Twitter,2024-11-15 21:15:00,41,492,2,21,4,44,0.19318181818181818,False,True
Throwback to our team retreat last year ğŸŒ´,LinkedIn,2023-07-03 22:30:00,21,231,2,22,0,41,0.0,True,False
5 tools every startup should be using today ğŸ”§,Twitter,2024-04-16 16:45:00,40,640,2,16,1,45,0.0,False,True
Throwback to our team retreat last year ğŸŒ´,LinkedIn,2024-06-09 21:00:00,23,253,3,21,6,41,0.0,True,False
Reflecting on our startup journey so far âœ¨,LinkedIn,2024-02-18 09:00:00,47,1128,8,9,6,42,0.1,True,False
Reflecting on our startup journey so far âœ¨,LinkedIn,2023-12-28 18:30:00,56,1624,10,18,3,42,0.1,True,False
How to stay productive while working remotely ğŸ’»,LinkedIn,2023-06-07 11:00:00,14,420,1,11,2,47,-0.1,True,False
How to stay productive while working remotely ğŸ’»,Twitter,2023-03-11 09:00:00,2,24,0,9,5,47,-0.1,False,True
Throwback to our team retreat last year ğŸŒ´,Twitter,2024-07-11 17:15:00,3,72,0,17,3,41,0.0,False,True
How to stay productive while working remotely ğŸ’»,LinkedIn,2025-07-02 18:00:00,39,624,5,18,2,47,-0.1,True,False
How to stay productive while working remotely ğŸ’»,LinkedIn,2024-05-21 08:30:00,30,360,2,8,1,47,-0.1,True,False
Reflecting on our startup journey so far âœ¨,LinkedIn,2025-03-25 20:00:00,25,650,3,20,1,42,0.1,True,False
Reflecting on our startup journey so far âœ¨,LinkedIn,2023-09-21 21:45:00,26,780,4,21,3,42,0.1,True,False
Hereâ€™s a quick tip for growing on LinkedIn ğŸ“ˆ,Twitter,2023-01-23 14:45:00,51,1428,9,14,0,44,0.3333333333333333,False,True
Join us for a live webinar on AI and the future ğŸ§ ,LinkedIn,2024-03-18 21:00:00,52,936,3,21,0,49,0.06818181818181818,True,False
Excited to announce our new product launch ğŸš€,LinkedIn,2025-02-09 15:45:00,62,1240,3,15,6,44,0.2556818181818182,True,False
Reflecting on our startup journey so far âœ¨,LinkedIn,2025-02-11 19:45:00,60,720,11,19,1,42,0.1,True,False
Hereâ€™s a quick tip for growing on LinkedIn ğŸ“ˆ,LinkedIn,2025-09-17 10:00:00,77,2310,6,10,2,44,0.3333333333333333,True,False
Our new office space is ready! Take a look ğŸ¢,Twitter,2024-11-08 12:30:00,22,638,4,12,4,44,0.19318181818181818,False,True
Excited to announce our new product launch ğŸš€,LinkedIn,2024-01-07 10:45:00,52,1248,6,10,6,44,0.2556818181818182,True,False
Join us for a live webinar on AI and the future ğŸ§ ,LinkedIn,2023-06-14 07:30:00,44,1276,2,7,2,49,0.06818181818181818,True,False
Reflecting on our startup journey so far âœ¨,LinkedIn,2024-02-14 17:15:00,46,1196,4,17,2,42,0.1,True,False
Reflecting on our startup journey so far âœ¨,Twitter,2025-01-12 06:00:00,11,319,1,6,6,42,0.1,False,True
Join us for a live webinar on AI and the future ğŸ§ ,Twitter,2024-01-25 19:00:00,17,272,3,19,3,49,0.06818181818181818,False,True
How to stay productive while working remotely ğŸ’»,LinkedIn,2023-05-18 08:45:00,35,840,6,8,3,47,-0.1,True,False
5 tools every startup should be using today ğŸ”§,Twitter,2025-10-17 13:15:00,40,720,4,13,4,45,0.0,False,True
Throwback to our team retreat last year ğŸŒ´,LinkedIn,2023-12-04 14:30:00,47,940,5,14,0,41,0.0,True,False
"We just hit 10,000 followers, thank you all ğŸ™Œ",LinkedIn,2024-02-07 22:30:00,43,645,6,22,2,45,0.0,True,False
Throwback to our team retreat last year ğŸŒ´,LinkedIn,2023-03-19 11:45:00,34,442,5,11,6,41,0.0,True,False
Excited to announce our new product launch ğŸš€,LinkedIn,2024-05-28 22:45:00,46,1380,4,22,1,44,0.2556818181818182,True,False
5 tools every startup should be using today ğŸ”§,Twitter,2023-06-18 18:30:00,22,616,2,18,6,45,0.0,False,True
Reflecting on our startup journey so far âœ¨,LinkedIn,2024-04-09 14:30:00,52,988,6,14,1,42,0.1,True,False
Throwback to our team retreat last year ğŸŒ´,LinkedIn,2024-02-14 10:15:00,46,1196,3,10,2,41,0.0,True,False
Why storytelling matters in product design ğŸ“š,LinkedIn,2024-11-11 13:45:00,16,464,3,13,0,44,0.0,True,False
5 tools every startup should be using today ğŸ”§,Twitter,2023-04-09 19:00:00,44,1144,6,19,6,45,0.0,False,True
Our new office space is ready! Take a look ğŸ¢,LinkedIn,2023-11-27 13:45:00,28,840,2,13,0,44,0.19318181818181818,True,False
Throwback to our team retreat last year ğŸŒ´,Twitter,2024-04-10 19:30:00,42,714,3,19,2,41,0.0,False,True
Excited to announce our new product launch ğŸš€,Twitter,2025-09-05 08:30:00,29,551,4,8,4,44,0.2556818181818182,False,True
"We just hit 10,000 followers, thank you all ğŸ™Œ",LinkedIn,2025-04-15 08:45:00,44,1232,8,8,1,45,0.0,True,False
"We just hit 10,000 followers, thank you all ğŸ™Œ",Twitter,2024-07-06 12:15:00,14,182,1,12,5,45,0.0,False,True
Reflecting on our startup journey so far âœ¨,Twitter,2024-10-18 09:15:00,57,684,2,9,4,42,0.1,False,True
Why storytelling matters in product design ğŸ“š,Twitter,2023-12-26 10:15:00,21,378,2,10,1,44,0.0,False,True
How to stay productive while working remotely ğŸ’»,LinkedIn,2024-03-28 15:30:00,28,644,4,15,3,47,-0.1,True,False
5 tools every startup should be using today ğŸ”§,Twitter,2024-02-21 20:30:00,15,375,1,20,2,45,0.0,False,True
5 tools every startup should be using today ğŸ”§,LinkedIn,2025-05-09 11:00:00,17,238,2,11,4,45,0.0,True,False
How to stay productive while working remotely ğŸ’»,LinkedIn,2025-02-02 16:15:00,11,308,1,16,6,47,-0.1,True,False
Reflecting on our startup journey so far âœ¨,LinkedIn,2025-01-27 15:00:00,60,1440,5,15,0,42,0.1,True,False
How to stay productive while working remotely ğŸ’»,LinkedIn,2023-04-01 06:30:00,3,48,0,6,5,47,-0.1,True,False
Hereâ€™s a quick tip for growing on LinkedIn ğŸ“ˆ,Twitter,2025-12-07 09:30:00,54,1296,3,9,6,44,0.3333333333333333,False,True
5 tools every startup should be using today ğŸ”§,LinkedIn,2023-09-11 12:30:00,21,420,2,12,0,45,0.0,True,False
"We just hit 10,000 followers, thank you all ğŸ™Œ",LinkedIn,2024-07-03 18:00:00,4,68,0,18,2,45,0.0,True,False
Excited to announce our new product launch ğŸš€,LinkedIn,2024-03-07 06:15:00,37,1110,1,6,3,44,0.2556818181818182,True,False
Join us for a live webinar on AI and the future ğŸ§ ,LinkedIn,2023-08-24 20:15:00,43,430,4,20,3,49,0.06818181818181818,True,False
How to stay productive while working remotely ğŸ’»,Twitter,2025-09-11 16:30:00,34,748,4,16,3,47,-0.1,False,True
Reflecting on our startup journey so far âœ¨,LinkedIn,2023-12-22 09:00:00,39,507,4,9,4,42,0.1,True,False
Our new office space is ready! Take a look ğŸ¢,Twitter,2025-01-26 15:45:00,32,480,4,15,6,44,0.19318181818181818,False,True
Excited to announce our new product launch ğŸš€,Twitter,2024-03-08 08:15:00,52,1560,10,8,4,44,0.2556818181818182,False,True
Reflecting on our startup journey so far âœ¨,LinkedIn,2025-04-22 13:30:00,17,425,1,13,1,42,0.1,True,False
Throwback to our team retreat last year ğŸŒ´,Twitter,2024-01-18 09:45:00,19,551,2,9,3,41,0.0,False,True
Throwback to our team retreat last year ğŸŒ´,LinkedIn,2023-09-14 17:15:00,42,504,4,17,3,41,0.0,True,False
5 tools every startup should be using today ğŸ”§,LinkedIn,2024-07-25 15:00:00,10,260,0,15,3,45,0.0,True,False
Hereâ€™s a quick tip for growing on LinkedIn ğŸ“ˆ,LinkedIn,2025-05-06 10:15:00,50,1150,6,10,1,44,0.3333333333333333,True,False
Throwback to our team retreat last year ğŸŒ´,LinkedIn,2024-12-14 08:30:00,36,540,4,8,5,41,0.0,True,False
Hereâ€™s a quick tip for growing on LinkedIn ğŸ“ˆ,LinkedIn,2024-07-17 18:15:00,68,2040,12,18,2,44,0.3333333333333333,True,False
Throwback to our team retreat last year ğŸŒ´,LinkedIn,2023-01-26 21:00:00,39,624,7,21,3,41,0.0,True,False
Join us for a live webinar on AI and the future ğŸ§ ,Twitter,2024-10-18 09:30:00,42,840,7,9,4,49,0.06818181818181818,False,True
Our new office space is ready! Take a look ğŸ¢,Twitter,2024-11-26 08:30:00,60,720,9,8,1,44,0.19318181818181818,False,True
Excited to announce our new product launch ğŸš€,Twitter,2023-04-26 12:30:00,26,780,3,12,2,44,0.2556818181818182,False,True
Throwback to our team retreat last year ğŸŒ´,Twitter,2023-04-09 16:45:00,33,759,6,16,6,41,0.0,False,True
Join us for a live webinar on AI and the future ğŸ§ ,LinkedIn,2024-01-09 07:00:00,31,744,1,7,1,49,0.06818181818181818,True,False
Hereâ€™s a quick tip for growing on LinkedIn ğŸ“ˆ,LinkedIn,2024-04-15 17:45:00,59,1711,8,17,0,44,0.3333333333333333,True,False
Excited to announce our new product launch ğŸš€,LinkedIn,2025-01-05 17:00:00,40,1080,3,17,6,44,0.2556818181818182,True,False
"We just hit 10,000 followers, thank you all ğŸ™Œ",Twitter,2025-08-04 10:00:00,26,754,1,10,0,45,0.0,False,True
Excited to announce our new product launch ğŸš€,LinkedIn,2024-06-06 10:30:00,57,912,10,10,3,44,0.2556818181818182,True,False
Join us for a live webinar on AI and the future ğŸ§ ,LinkedIn,2024-04-05 12:30:00,37,481,2,12,4,49,0.06818181818181818,True,False
Join us for a live webinar on AI and the future ğŸ§ ,Twitter,2024-08-17 19:45:00,32,960,4,19,5,49,0.06818181818181818,False,True
5 tools every startup should be using today ğŸ”§,LinkedIn,2024-06-22 06:00:00,6,156,0,6,5,45,0.0,True,False
5 tools every startup should be using today ğŸ”§,LinkedIn,2023-04-18 15:00:00,12,288,1,15,1,45,0.0,True,False
5 tools every startup should be using today ğŸ”§,LinkedIn,2023-07-03 07:15:00,19,323,2,7,0,45,0.0,True,False
How to stay productive while working remotely ğŸ’»,LinkedIn,2025-10-14 12:15:00,39,702,3,12,1,47,-0.1,True,False
5 tools every startup should be using today ğŸ”§,LinkedIn,2024-05-11 16:00:00,20,560,1,16,5,45,0.0,True,False
Our new office space is ready! Take a look ğŸ¢,LinkedIn,2024-12-03 06:00:00,32,704,2,6,1,44,0.19318181818181818,True,False
5 tools every startup should be using today ğŸ”§,LinkedIn,2025-02-12 08:30:00,12,192,1,8,2,45,0.0,True,False
Hereâ€™s a quick tip for growing on LinkedIn ğŸ“ˆ,LinkedIn,2023-10-03 07:15:00,68,1564,7,7,1,44,0.3333333333333333,True,False
Why storytelling matters in product design ğŸ“š,Twitter,2024-07-21 17:00:00,9,126,0,17,6,44,0.0,False,True
Reflecting on our startup journey so far âœ¨,Twitter,2025-06-05 11:15:00,23,575,1,11,3,42,0.1,False,True
5 tools every startup should be using today ğŸ”§,Twitter,2024-11-11 09:15:00,37,777,5,9,0,45,0.0,False,True
5 tools every startup should be using today ğŸ”§,LinkedIn,2023-12-27 10:45:00,25,625,3,10,2,45,0.0,True,False
5 tools every startup should be using today ğŸ”§,Twitter,2025-03-21 09:30:00,6,108,1,9,4,45,0.0,False,True
Excited to announce our new product launch ğŸš€,LinkedIn,2023-09-15 09:15:00,28,364,1,9,4,44,0.2556818181818182,True,False
How to stay productive while working remotely ğŸ’»,Twitter,2023-03-16 13:15:00,41,1189,4,13,3,47,-0.1,False,True
Reflecting on our startup journey so far âœ¨,LinkedIn,2023-03-22 22:45:00,24,336,3,22,2,42,0.1,True,False
"We just hit 10,000 followers, thank you all ğŸ™Œ",LinkedIn,2023-11-06 19:45:00,50,750,4,19,0,45,0.0,True,False
"We just hit 10,000 followers, thank you all ğŸ™Œ",LinkedIn,2023-12-17 22:00:00,50,550,7,22,6,45,0.0,True,False
Our new office space is ready! Take a look ğŸ¢,LinkedIn,2025-01-06 15:15:00,41,902,7,15,0,44,0.19318181818181818,True,False
Join us for a live webinar on AI and the future ğŸ§ ,Twitter,2023-01-01 06:15:00,45,855,7,6,6,49,0.06818181818181818,False,True
